ipf
10th Frame (Europe)|D866745B
Disc (Europe) (Budget - Action Sixteen)|AB7FFC6B
Dizzy Dice (Europe) (Budget - Smash 16)|34A1D807
Double Dragon (Europe) (Compilation - Magnum 4) (Disk 2)|C1EBE2CA
Double Dragon II - The Revenge (Europe) (v1.2) (Budget - 16 Blitz) (Disk 2)|37CC6451
Dragon Spirit (Europe) (Disk 2)|150F235E
Drakkhen (Europe) (v1.1) (Disk 3)|BE27D4C4
Driller (Europe) (En,Fr,De,It)|ACBE8CC3
Dynamite Dux (Europe) (Fists of Fury)|7D686FA9
Dynasty Wars (Europe) (Compilation - Les Chevaliers)|D263DCD9
Dyter-07 (Europe) (Disk 2)|20C2C812
East vs. West Berlin 1948 (Europe) (Disk 2)|9DA3C5F1
Elemental (Europe) (En,Fr,De)|BBDA28A7
Elf (Europe) (MicroValue)|93197887
Elite (Europe)|ACD85762
Enterprise (Europe)|E4EACDF7
Erik (Europe)|004F5576
ESWAT (Europe) (Disk 2)|D232722A
Exolon (Europe)|F5E1E276
Eye of Horus (Europe)|E166E8A4
F-15 Strike Eagle (Europe) (v703.01)|F17BD150
F-19 Stealth Fighter (Europe) (v1.02) (Disk C)|CB78569C
Face-Off Ice Hockey (Europe) (En,Fr,De,Es,It)|23C5A571
Fire and Brimstone (Europe) (Disk B)|AA3EEB78
Fire and Forget (Europe)|82240691
Fire and Forget II - The Death Convoy (Europe)|6CB31E61
Flimbo's Quest (Europe)|7117917A
Football Manager (Europe)|134A3FF8
Football Manager 2 (Europe)|08363B8C
Foundation's Waste (Europe) (Budget - Klassix)|1C4935E3
Foundation's Waste (Europe) (Coverdisk - The One - Issue 22) (Amiga + ST)|8CC8484F
Full Metal Planete (Europe)|CDA1BF50
Future Basketball (Europe)|52B04291
Future Wars - Time Travellers (Europe) (Disk 3)|05E3600F
Galaxy Force II (Europe) (Disk B)|86B551A9
Game Over II (Europe)|A56489C4
Gazza's Super Soccer (Europe) (En,Fr,It,Gd)|1395F810
Gemini Wing (Europe) (Disk 2)|2AB50F0C
Get Dexter (Europe) (En,Fr,De,Es)|BE17F03A
GFL Championship Football (Europe)|DA4F2CE4
Ghosts'n Goblins (Europe) (Compilation - Finale)|C569CE88
Ghouls 'n' Ghosts (Europe) (Compilation - Les Chevaliers) (Disk 2)|610B63DB
Go-Moku + Renju (Europe)|15130DBC
Goofy's Railway Express (Europe) (En,Fr,De,Es,It)|B232592F
Gravity (Europe) (Disk 2)|1561C03B
Growth (Europe)|EEB70AC4
Guardian Angel (Europe)|10D281CE
Guild of Thieves, The (Europe) (v1.0)|E23D02D4
Hacker II - The Doomsday Papers (Europe)|B7C73077
Hammerfist (Europe)|5697BF95
Hard Nova (Europe) (Install Disk)|B71E7A4C
HardBall! (Europe) (Compilation - Accolade All Time Favourites)|9D654A14
Harley-Davidson - The Road to Sturgis (Europe) (Disk 2)|D440E665
Hellraider (Europe)|1D05BBB1
Hi-Tec Hanna-Barbera Cartoon Character Collection, The (Europe)|A290A478
Hill Street Blues (Europe) (En,Fr,De,Es,It) (v1.11 26.3.1991) (Budget - Buzz)|BAE8EB8F
Hostages (Europe) (American Dreams)|44D1579E
Hostages (Europe) (Disk 2)|63D40194
Hotshot (Europe)|8F1E98BB
Hound of Shadow, The (Europe) (Disk C - Data Disk)|A076B61F
Hunter Killer (Europe) (v1.01) (Budget - 16 Blitz)|AB7DEF25
Hyperbowl (Europe)|374A9589
I, Ball (Europe)|0A1FC72F
Ice Hockey aka Face Off (Europe)|D459DFCA
Impact (Europe)|FAF985E4
Indiana Jones and the Temple of Doom (USA)|F1EF6832
International Karate (Europe) (Disk B)|24CA9228
International Karate (Europe) (Summer Pack) (Disk B)|721ECC6C
International Ninja Rabbits (Europe)|EA4F6222
International Truck Racing (Europe)|FC377E1E
Interphase (Europe)|DFFF1304
Italy 1990 (Europe) (Compilation - The Lineker Collection)|61F64A85
Ivanhoe (Europe) (Disk 2)|0F24F086
James Pond - Underwater Agent (Europe)|1DC744F0
James Pond II - Codename RoboCod (Europe)|81A35719
Jaws (Europe)|90ADC2F5
Jewels of Darkness (Europe)|7E9839DB
John Barnes European Football (Europe) (En,Fr,De,Es,It)|34B80359
Jump Jet (Europe)|BDCCF3ED
Jungle Boy (Europe)|0E5FE4C1
Kelly X (Europe)|F1A2FEE5
Kick Off 2 (Europe) (v1.4e)|4CC10F6D
Kick Off 2 - Return to Europe (Europe) (v2.1e)|B14D2140
Kick Off 2 - The Final Whistle (Europe) (v2.1e)|EF51C120
Kick Off 2 - Winning Tactics (Europe)|7330C891
Kid Gloves (Europe) (Budget - GBH)|B4C37AC1
Killing Cloud, The (Europe) (En,Fr,De) (Disk B)|C0E702A8
King's Quest III - To Heir is Human (Europe) (v1.02 11.18.86) (Disk 3)|C28052A6
Klax (Europe)|FD4FB012
Laser Squad (Europe)|7F458CD8
Last Ninja 3 (Europe) (Budget - Kixx) (Disk 2)|CFA3D6D2
Leader Board (Europe)|E30DCFB2
Leader Board Tournament (Europe) (Compilation - Leader Board Birdie) (Disk 2)|0CAA8BE5
Leisure Suit Larry in - The Land of the Lounge Lizards (Europe) (v1.04 6.18.87) (Disk 2)|788F6758
Lethal Xcess - Wings of Death II (Europe) (Amiga + ST) (Disk B)|7C53B994
Leviathan + Rana Rama (Europe) (Summer Pack)|E61CBA5E
Light Corridor, The (Europe)|F4C91ADD
Lock-On (USA)|81582CEF
Locomotion (Europe) (Byte Back)|E85B531E
Logical (Europe)|EF80321E
Lure of the Temptress (France) (17.6.1992) (Disk C)|0DDE23F5
Lurking Horror, The (Europe) (r203)|810FD34B
Mach 3 (Europe) (Disk B)|F00AF809
Mafdet and the Book of the Dead (Europe)|2760D237
Manchester United - The Official Computer Game (Europe) (En,Fr,De,Es,It,Sv) (Disk 2)|7AF2B6F1
Manhattan Dealers (Europe) (Disk B)|3C4CFAEE
Manoir de Mortevielle, Le (France) (Disk 2)|559D3C83
Marble Madness (Europe) (Summer Pack)|B9501A85
Matrix Marauders (Europe)|B1034C7D
Maupiti Island (France) (Disk 2)|CF8DFE97
Mayday Squad Heroes (Europe) (Disk 2)|6B9BDE69
Mean 18 (Europe) (Compilation - Accolade All Time Favourites) (Program Disk)|33565A50
Mega Twins (Europe) (Disk 2)|BD95D263
Mercenary - Escape from Targ & The Second City (Europe) (Compilation - Premier Collection II)|7A448E10
Metro-Cross (Europe)|CD252332
Mindwheel (Europe)|7C99FCE7
Missing - One Droid (Europe)|A4CF2E54
Mission Genocide (Europe)|060D37DC
Monster Business (Europe) (Amiga + ST)|BE6095A0
Mousetrap + Plutos (Europe) (Summer Pack)|9B3484E5
Never Mind (Europe) (Disk 2)|5808B98A
Nigel Mansell's World Championship (Europe)|0321E01F
Night Shift (Europe) (Disk 2)|52770C02
Night Walk (Europe)|BFE03968
Ninja Rabbits (Europe) (Disk 2)|677FD5AD
Ninja Remix (Europe) (Disk C)|04BC40A4
Nitro Boost Challenge (Europe)|017B04B1
No Excuses (Europe) (En,Fr,De,It)|40CF641E
North and South (Europe) (En,Fr,De,Es,It)|DE3BAB95
Obliterator (Europe) (Disk B)|269EB800
Off Shore Warrior (Europe)|ECF29843
Official Everton F.C. Intelligensia, The (Europe)|F435F18C
Operation Harrier (Europe)|0984B4B8
Operation Neptune (Europe) (Disk 2)|1576A1B4
Operation Stealth (France) (Disk 3)|43C10368
Operation Thunderbolt (Europe) (Disk 3)|F5BD3C85
Orbit 2000 (Europe)|74879679
Oriental Games (Europe) (Games Disk B)|955DF886
Outcast (Europe)|52444471
Overlander (Europe)|F4548C59
Overlander (Europe) (Compilation - Finale)|66C2E498
Oxford Softworks Go Player, The (Europe) (En,Fr,De)|9190AD7D
Pac-Mania (Europe)|EAA700C3
Pandora (Europe)|C13B362F
Paperboy (Europe) (Compilation - Finale)|1F431B44
Passengers on the Wind 2 (Europe)|BEC7E827
Pawn, The (Europe) (v2.1)|5A863AD1
Pengy & Cosmos (Europe) (Quartet Gold)|B546453E
Pharaoh III (Europe)|40279D1A
Pictionary - The Game of Quick Draw (Europe)|7F06EAB5
Pipe Mania (Europe)|AF361872
Pirates of the Barbary Coast (Europe)|0DC48ED2
Player Manager (Europe) (Compilation - Football Crazy Challenge)|938060A7
Police Quest - In Pursuit of the Death Angel (Europe) (v2.0G 12.3.87) (Disk 3)|FFDDFA40
Populous - The Promised Lands (Europe) (Amiga + ST) (Addon)|DE09F0A3
PowerBoat USA - Offshore Superboat Racing (Europe) (Disk 2)|52CB0707
Powerplay - The Game of the Gods (Europe)|5CD23993
President is Missing, The (Europe)|82FE6664
Prince (Europe)|CD245F0F
Prison (Europe) (En,Fr,De,It) (Disk 2)|402E8C1E
Pro Tennis Tour (Europe) (Grandstand)|33098CC3
Projekt Prometheus (Germany) (Disk 2 von 2)|70A1DFFD
Protector (Europe) (VM)|6370C949
Puzznic (Europe)|BF30E373
Quartz (Europe)|707B1264
Quink (USA)|BA6001EE
Raffles (Europe)|AE0DC018
Rally Cross Challenge (Europe)|8ABA62DC
Real Ghostbusters, The (Europe)|F2447EE4
Realm of the Trolls (Europe) (Disk 2)|57A251C2
Rebellion (Europe)|D7690EAB
Red Heat (Europe) (Disk 2)|612D962A
Red Storm Rising (Europe) (v743.01) (Disk B)|09CA6ACD
Resolution 101 (Europe)|C2035BD0
Return to Genesis (Europe)|D2B49BDD
Revenge II - Revenge of the Mutant Camels II (Europe)|7F0FE084
Roadwars (Europe)|48CF06AF
Roadwars + Q Ball (Europe) (Summer Pack)|FEBE22B2
RoboCop (Europe) (Disk 2)|695DB228
Rock Star Ate My Hamster (Europe)|1226738E
Rocket Ranger (Europe) (TRIAD Volume 3) (Disk 3)|3CEB67C0
Rody and Mastico II (Europe)|A9461A40
Rody et Mastico III (France)|846A8E73
Rotor (Europe)|4CB9EFAE
Saint and Greavsie (Europe)|2153E180
Sargon III (Europe)|778EA9AB
SAS Combat Simulator (Europe)|00AFC741
Savage (Europe) (Disk 2)|6499D516
Scooby-Doo and Scrappy-Doo (Europe)|F07C7430
Screaming Wings (Europe) (Quartet Gold)|E6BE35F0
Seconds Out (Europe)|C4128C18
Seven Gates of Jambala, The (Europe) (Disk 2)|82ADDDA0
Shadowgate (Europe) (Disk 2)|3690E0D4
Sherman M4 (Europe) (Disk 2)|F61AB62E
Shinobi (Europe) (Fists of Fury) (Disk 2)|93D1CB75
Shuffleboard & Pool (Europe)|670E72F3
Shufflepuck Cafe (Europe) (Disk 1)|89CB5549
SideWinder (Europe) (Disk B)|16BBCC50
Silent Service - The Submarine Simulation (Europe) (v725.02)|1BAEE40A
Silkworm (Europe)|BEE632C4
Sinbad and the Throne of the Falcon (Europe) (Reel 3)|579FCDCE
Skidoo (Europe) (Disk 2)|75A7F869
Skrull the Barbarian (Europe) (Budget - Smash 16) (Disk 2)|8444981A
Skull-Diggery (Europe)|7138A6B1
Slap Fight + Enduro Racer (Europe) (Summer Pack)|7B193AD5
Soccer Supremo (Europe)|48DA8731
Sorcerer Lord (Europe)|E693B425
Space Harrier (Europe) (Compilation - Finale)|7B3415E4
Space Harrier (Europe) (Disk 2)|63DE23BB
Space Harrier II (Europe) (Disk 2)|F02028C8
Space Racer (Europe) (Disc B)|2FE9F2F2
Spaceport (Europe)|D1F6EC9E
Speed Buggy (Europe)|26415568
Speedball (Europe) (TRIAD Volume 3)|C8146E89
Spellbreaker (Europe) (r63)|BB75C4DA
Spherical (Europe) (Disk B)|C0BBCDC0
Spidertronic (Europe)|F1E6DF96
Spitfire 40 (Europe)|9FB5F1BA
Spitting Image (Europe)|8BFE0283
ST Protector (Europe) (Paradox)|662E2955
Star Trek - The Rebel Universe (Europe)|120C7444
Star Wars - Return of the Jedi (Europe) (Compilation - The Star Wars Trilogy)|E3CA5FA2
Star Wars - The Empire Strikes Back (Europe) (Compilation - The Star Wars Trilogy)|C0C4329F
Star Wrek (Europe)|E1CC5280
Starblaze (Europe)|FEAA81E0
StarFlight (Europe) (Disk B)|9D44D8D5
Starglider (Europe)|B0472C8C
Starglider 2 (Europe) (En,Fr,De) (Amiga + ST)|ED38C67F
StarGoose! (Europe)|ED234AC6
Starquake (Europe)|CD1AEE1B
StarRay (Europe)|6454B0E4
Steel (Europe)|6AC8B3B0
Stone Age (Europe) (Amiga + ST)|47688571
Storm Master (Europe)|1FC8C46C
Street Hockey (Europe)|3FCB247B
Strider (Europe) (Compilation - Les Chevaliers)|508FBD09
Strike (Europe)|43013DCD
Strip Poker - A Sizzling Game of Chance (Europe)|F9590CA0
Stryx (Europe) (Disk B)|24EAF056
Summer Olympiad (Europe) (Disk 2)|B4173BA0
Sundog - Frozen Legacy (Europe)|46F0AE7E
Super Cycle (Europe)|9E5AF2A0
Superman - The Man of Steel (Europe) (Disk 2)|C8D21456
Supernova - Fruit Machine Simulator (Europe)|16344174
Swap (Europe) (Budget - Fox Hits)|C1AF7FDD
Tai-Pan (Europe)|8CE5A8A6
Targhan (Europe) (Budget - Action Sixteen)|BA0F3B45
Tass Times in Tonetown (Europe) (Disk 2)|61755523
Tau Ceti (Europe)|BFF7A431
Technocop (Europe) (Disk 2)|FE5D3233
Tennis Cup (Europe) (Budget - Action Sixteen)|47E02070
Terramex (Europe) (Disk 2)|DD8A2902
Test Drive (Europe) (Compilation - Accolade All Time Favourites) (Disk 2)|C293654B
Tetris + Strike Force Harrier (Europe) (Summer Pack)|45FEF37C
The Deep (Europe) (Disk 2)|BD61496F
The Immortal (Europe) (Play Disk)|EF08F2B4
The Ninja Warriors (Europe) (Fists of Fury) (Disk 3)|D7E1F6EB
The Pursuit to Earth (Europe) (Disk 2)|B1BE0E28
Theme Park Mystery (Europe)|ADAFA9CA
Thrust (Europe)|E2A2F206
Thunder Burner (Europe)|6F8E0512
ThunderCats (Europe) (Budget - Encore)|3AE4EF28
ThunderWing (Europe)|8039CCD0
Time and Magik (Europe) (Disk 2)|85832646
Timeblast (Europe)|D2B9AF2B
Tintin on the Moon (Europe) (En,Fr,De)|46500BF0
Toobin' (Europe)|894947E5
Top Cat Starring in Beverly Hills Cats (Europe)|B22C9B87
Tower of Babel (Europe)|DC83D3FB
Trailblazer (Europe)|05EDFF74
Trash Heap (Europe) (Disk 2)|6072083F
Trauma (Europe) (Disk 2)|24D09513
Treble Champions (Europe) (v1.0)|CA67CF86
Trinity (Europe) (r11)|9D9283AD
Trivial Pursuit - A New Beginning (Europe)|28C85CD1
Turbo Cup Challenge (Europe) (Budget - Smash 16)|2D9459E0
Turbo GT (Europe)|58193517
Turbo OutRun (Europe) (Budget - Kixx)|93AE44B1
Turrican II - The Final Fight (Europe) (Budget - Kixx)|1C16F12E
TV Sports Football (Europe)|C1630D7A
Twylyte (Europe)|AF320FB0
Typhoon Thompson in Search for the Sea Child (Europe)|78101CF7
UMS - The Universal Military Simulator (Europe)|1AFE1220
Universe 3 (Europe) (v1.0) (Game Disk)|B58ABF6C
Untouchables, The (Europe) (Disk 3)|78A88D78
Vampire's Empire (Europe)|316C99E3
Vectorball (Europe)|08506A17
Vindicators (Europe) (Disk 2)|7B3C62D3
Virus (Europe)|28AE7EFB
Wanderer 3D (Europe) (Budget - Encore)|7EB28E97
Wanted (Europe) (Disk 2)|6C4325F7
War in Middle Earth (Europe) (Disk 3)|AB404366
Warhawk (Europe)|85D4BEEF
Warlock (Europe) (The Edge)|D2FD5A69
Warlock's Quest (Europe) (Budget - Pocket Soft)|C911962E
Where Time Stood Still (Europe) (En,De)|8829DE66
Whirligig (Europe)|CE2A4C3D
Wild Streets (Europe) (Budget - Fox Hits)|723F49ED
Winter Games (Europe) (Disk 2)|08A6648C
Winter Olympiad 88 (Europe) (Summer Pack)|0CE69AD4
Wonderland (Europe) (v1.27 3.1.1991) (Disk 4)|AED10450
World Championship Boxing Manager (Europe) (Disk 2)|5E9B73D5
World Class Leader Board (Europe) (Budget - Klassix)|CC8A9A06
World Class Leader Board + Gazza's Super Soccer + Continental Circus (Europe) (Grandstand)|CF4201AF
Wrangler (Europe)|74BC5A25
X-Out (Europe) (Disk 2)|DAD5C809
Xenon (Europe) (Budget - 16 Blitz)|ECF4BE37
Yogi's Big Clean Up (Europe)|5D7E074D
Yogi's Great Escape (Europe)|8A32157D
